[01:45:59] ablation/holdout: 290 instances, 25 variants
[01:47:49] 20/290 (5.5s/inst)
[01:50:44] 40/290 (7.1s/inst)
[01:55:12] 60/290 (9.2s/inst)
[02:00:24] 80/290 (10.8s/inst)
[02:03:47] 100/290 (10.7s/inst)
[02:18:20] 120/290 (16.2s/inst)
[02:23:20] 140/290 (16.0s/inst)
[02:26:54] 160/290 (15.3s/inst)
[02:33:08] 180/290 (15.7s/inst)
[02:36:42] 200/290 (15.2s/inst)
[02:42:12] 220/290 (15.3s/inst)
[02:47:55] 240/290 (15.5s/inst)
[02:51:36] 260/290 (15.1s/inst)
[02:55:42] 280/290 (14.9s/inst)
[02:57:06] ABLATION DONE
